ugCourse,ugSpecialization,jobRole,cgpa,historyofBacklogs,computerLiteracy,problemSolving,TechnicalSkill,ResearchSkill,communicationSkill,interpersonalSkill,teamwork,adaptability,timeManagement,emotionalIntelligence,continousLearning,leadership
BBA,Business Administration,Operations Manager,9.6,1.0,4.6,2.6,5.9,7.7,6.6,1.6,4.5,10.0,6.3,1.3,8.5,1.6
BEd,Elementary Education,Education Administrator,4.1,7.5,9.6,2.1,8.3,7.5,2.5,5.7,0.0,0.3,3.4,3.0,1.1,6.2
BSA,Space Engineering,Cosmic Philosopher,8.6,12.5,1.8,3.4,4.0,0.6,1.4,6.7,5.7,5.4,8.7,4.1,0.4,3.7
BCA,Computer Applications,Software Developer,9.9,6.9,2.6,7.3,4.0,0.2,9.9,4.9,9.6,8.1,6.6,2.2,8.5,2.6
BE or BTech,Civil Engineering,Mechanical Engineer,8.3,3.5,2.2,4.4,0.7,7.2,4.8,2.5,2.2,2.7,0.3,9.0,7.2,8.8
BCA,Computer Applications,Web Developer,8.8,12.1,8.0,1.9,0.6,9.0,6.1,6.4,2.1,4.6,3.3,4.2,7.1,1.7
BBA,International Business,Project Manager,9.3,11.5,5.9,9.4,2.0,9.4,5.8,1.5,4.5,1.8,8.6,7.0,8.1,4.1
BFA,Fine Arts,Photographer,2.5,9.7,8.0,6.7,8.2,7.1,4.3,0.8,5.3,3.6,2.5,9.7,4.6,9.0
BArch,Urban Planning,Landscape Architect,7.0,6.8,0.2,1.0,4.7,7.3,0.2,2.0,2.8,7.6,1.5,2.4,9.6,4.7
BBA,International Business,Marketing Manager,6.3,6.8,7.2,3.9,9.1,0.4,8.5,8.3,6.3,6.8,9.5,4.0,7.9,4.7
BCom,Management,Accountant,2.5,4.7,2.7,5.1,9.4,5.4,4.9,6.1,5.3,4.6,3.6,4.1,7.7,7.9
BA,History,Human Resources Assistant,5.8,0.2,5.0,7.2,7.1,2.6,7.7,7.0,6.9,0.0,6.0,3.3,7.7,3.1
BSA,Astrophysics,Space Artist,3.2,3.1,0.1,7.7,6.7,9.3,5.3,4.6,2.8,0.0,2.3,0.1,6.0,8.7
BSc,Biology,Pharmaceutical Sales Representative,2.4,11.5,7.7,5.1,5.8,0.9,9.1,8.4,1.0,5.3,4.6,2.5,8.9,8.6
BE or BTech,Computer Science,Biomedical Engineer,8.9,14.5,6.4,4.0,0.3,8.9,8.2,10.0,6.8,7.2,5.3,2.8,5.0,0.4
BCA,Information Technology,Computer Programmer,6.5,9.6,2.9,0.7,0.2,1.0,3.4,1.6,5.7,3.6,5.0,8.8,7.8,1.1
BArch,Architecture,Interior Designer,5.0,11.4,0.1,2.3,9.9,2.6,5.0,1.8,9.1,8.6,4.3,5.6,4.4,6.5
BArch,Landscape Architecture,Sustainability Consultant,2.9,1.0,9.5,1.4,7.2,9.8,3.6,3.1,1.7,4.0,2.0,0.5,9.7,8.0
BEd,Secondary Education,Instructional Designer,3.1,0.1,5.4,6.0,1.7,8.2,8.0,2.9,0.5,6.8,4.3,4.8,8.7,4.7
BCA,Software Engineering,Network Administrator,8.8,12.6,2.6,3.6,3.0,4.2,3.7,1.2,1.2,9.2,0.1,8.5,7.0,9.8
BSA,Space Engineering,Spacecraft Designer,6.5,11.2,9.1,2.4,0.0,1.8,2.5,1.0,5.2,0.3,4.5,9.1,7.9,1.4
BSA,Astrophysics,Spacecraft Designer,2.6,10.7,9.7,2.2,9.5,5.9,4.4,5.3,3.6,4.3,3.0,6.6,1.7,3.9
BEd,Elementary Education,Teacher,8.1,11.9,9.0,5.3,8.4,6.4,4.7,7.7,1.0,7.5,4.6,8.1,6.8,0.9
BEd,Secondary Education,Tutor,1.0,2.2,6.2,2.7,8.5,3.9,9.9,8.3,3.6,3.7,0.7,7.1,0.3,1.3
BSc,Mathematics,Research Scientist,1.9,14.5,7.8,0.6,3.7,6.8,2.3,4.2,0.7,6.0,2.9,2.2,3.2,4.0
BFA,Sculpture,Graphic Designer,5.0,10.3,4.5,7.3,10.0,6.3,2.4,4.5,7.8,9.1,4.5,1.8,9.9,8.8
BA,English Literature,Customer Service Representative,5.8,1.5,0.5,4.1,6.9,5.3,0.3,8.4,2.2,5.6,6.2,8.1,4.6,9.1
BSc,Physics,Data Analyst,8.0,6.5,2.9,4.9,9.3,1.0,1.8,9.7,2.9,0.7,3.6,2.1,5.5,0.2
BBA,International Business,Supply Chain Manager,1.5,14.9,8.8,2.4,1.8,1.9,0.6,1.5,6.3,8.2,0.3,7.4,6.4,8.6
BBA,Human Resource Management,Financial Analyst,2.2,14.1,1.1,5.9,3.9,3.5,8.5,2.8,7.3,2.8,2.0,8.8,2.6,8.4
BCA,Information Technology,Software Developer,3.1,6.5,3.7,8.8,5.5,7.2,1.8,2.6,7.4,7.5,4.6,8.9,4.2,8.7
BCA,Web Development,Network Administrator,3.6,1.3,5.2,5.7,1.5,7.3,6.6,0.5,1.5,7.8,1.2,5.9,10.0,7.0
BSA,Astrophysics,Astrobiologist,7.9,4.7,1.6,5.5,3.2,1.4,2.4,7.0,8.7,3.8,5.1,5.7,3.8,5.4
BCom,Finance,Risk Analyst,5.3,10.1,0.9,3.7,2.3,3.8,8.2,2.7,5.9,0.6,3.3,0.9,5.2,5.2
BEd,Secondary Education,Tutor,1.4,8.2,4.7,5.7,8.5,9.6,5.1,4.5,9.4,9.3,6.9,6.5,0.1,1.9
BBA,Business Administration,Financial Analyst,3.5,10.5,7.7,4.2,5.0,1.6,3.6,8.2,2.2,7.7,2.7,8.2,7.1,8.5
BEd,Early Childhood Education,School Librarian,4.4,7.3,4.5,9.6,1.2,8.8,6.1,8.5,9.0,3.5,9.7,5.3,8.8,6.2
BSA,Astronomy,Space Musician,6.7,2.0,4.2,4.6,4.8,2.0,6.7,6.7,7.7,3.2,8.1,7.9,6.7,8.7
BBA,Entrepreneurship,Financial Analyst,6.0,1.0,7.1,4.9,0.8,3.3,0.9,9.0,2.0,9.9,1.0,6.8,7.0,2.0
BSA,Astrophysics,Spacecraft Designer,6.0,0.1,9.4,1.4,0.1,7.8,0.5,5.8,4.4,3.6,0.4,3.2,4.3,2.2
BE or BTech,Civil Engineering,Civil Engineer,7.7,7.4,3.3,4.0,4.7,9.5,1.4,5.2,6.3,8.2,3.1,8.9,8.1,7.8
BCA,Information Technology,Game Developer,4.8,6.4,8.1,6.2,1.7,2.0,2.9,7.7,6.5,5.4,9.3,1.5,2.7,8.1
BA,English Literature,Event Planner,4.9,11.3,8.7,2.6,1.5,8.8,2.3,9.0,2.7,2.1,0.8,6.8,0.9,7.8
BBA,Entrepreneurship,Operations Manager,8.0,14.4,7.7,0.9,9.8,4.7,9.7,6.4,8.5,10.0,5.1,4.2,5.5,7.2
BA,History,Content Writer,9.8,14.2,7.8,1.3,1.8,7.3,4.0,8.6,1.7,8.3,4.8,6.8,4.9,4.5
BSc,Physics,Quality Control Analyst,1.5,2.7,7.0,9.5,4.1,6.9,6.9,4.4,4.4,4.9,4.9,7.5,1.2,3.8
BBA,Entrepreneurship,Human Resources Manager,5.0,13.7,4.7,5.5,7.0,9.5,8.2,2.4,2.0,9.2,1.1,9.1,9.9,9.5
BCom,Finance,Investment Analyst,2.2,13.4,3.0,7.0,0.5,7.0,8.9,7.8,3.8,2.2,2.7,7.5,9.0,1.9
BCom,Marketing,Investment Analyst,4.5,0.5,3.6,8.8,8.8,1.4,4.1,2.8,6.8,6.6,2.0,2.7,1.1,10.0
BFA,Painting,Multimedia Artist,8.7,0.7,0.1,8.5,4.3,0.6,4.0,5.6,8.1,5.7,9.3,9.4,5.9,7.5
BBA,Business Administration,Financial Analyst,8.0,11.9,6.7,2.3,9.1,8.3,5.6,0.4,5.3,8.7,6.2,3.1,6.1,6.4
BCom,Accounting,Investment Analyst,7.9,2.5,9.5,7.3,2.3,9.8,1.9,8.6,4.0,2.4,1.0,6.3,4.3,3.2
BArch,Urban Planning,Historic Preservationist,5.8,12.9,2.2,9.8,6.9,3.4,5.2,7.9,2.1,8.3,6.2,0.5,3.9,4.4
BBA,Business Administration,Human Resources Manager,5.5,14.1,3.7,3.1,5.1,3.3,2.9,6.8,0.1,4.3,9.6,3.6,6.9,7.2
BSc,Chemistry,Lab Technician,9.4,1.7,5.3,2.0,9.0,9.0,5.9,2.0,8.3,8.1,1.4,7.3,1.2,4.4
BE or BTech,Electrical Engineering,Chemical Engineer,7.3,8.0,9.6,1.9,1.6,5.7,9.2,5.6,6.3,5.9,8.8,3.6,4.6,2.2
BCom,Accounting,Sales Executive,2.1,5.2,7.3,6.2,9.6,4.9,1.7,3.7,4.9,2.1,9.1,4.5,2.8,0.7
BA,History,Journalist,9.6,13.0,0.7,4.2,5.0,9.5,5.9,4.2,3.7,3.3,7.1,5.1,3.6,6.9
BFA,Sculpture,Art Teacher,6.7,2.6,5.7,8.7,8.0,4.9,5.9,5.5,7.1,0.2,6.7,3.7,10.0,3.5
BSA,Space Technology,Interstellar Photographer,3.4,2.0,3.0,6.1,5.0,1.2,3.0,5.4,5.5,5.4,0.6,0.9,1.7,9.5
BE or BTech,Mechanical Engineering,Electrical Engineer,7.0,6.5,8.2,1.0,4.3,0.2,1.1,7.7,7.6,2.5,0.8,9.4,6.8,5.4
BEd,Elementary Education,Education Consultant,9.7,0.4,6.2,7.8,7.6,7.7,3.8,4.1,8.7,6.2,0.7,6.7,6.8,6.8
BE or BTech,Computer Science,Mechanical Engineer,1.2,10.9,7.5,0.5,2.0,0.8,5.4,7.6,8.1,1.1,1.8,5.1,5.7,8.9
BE or BTech,Civil Engineering,Electrical Engineer,3.2,13.1,5.0,5.9,6.4,3.5,0.4,0.3,6.5,4.2,5.8,8.1,9.4,10.0
BCA,Computer Applications,Game Developer,2.4,12.3,9.2,4.0,9.2,5.4,8.1,6.6,2.3,9.0,9.1,3.3,2.7,4.2
BBA,International Business,Business Development Manager,5.3,1.7,2.0,0.1,1.1,7.8,1.5,8.5,0.8,7.9,0.7,4.9,1.5,1.8
BE or BTech,Computer Science,Automotive Engineer,5.3,3.4,5.2,3.9,6.8,3.6,4.2,1.7,9.9,8.1,7.8,4.4,2.6,3.8
BSc,Chemistry,Forensic Scientist,7.1,12.9,5.1,7.0,4.4,7.3,6.9,6.8,1.3,5.4,7.2,0.5,2.5,4.3
BCom,Accounting,Investment Analyst,2.6,10.6,9.9,0.1,8.9,1.3,7.5,9.0,2.6,2.3,6.1,8.1,9.7,8.2
BCA,Web Development,UI/UX Designer,8.3,5.7,6.9,8.1,3.7,2.4,1.0,6.5,0.3,9.2,8.0,5.1,9.9,5.0
BA,Psychology,Human Resources Assistant,9.8,2.2,2.0,5.0,7.4,9.3,7.8,0.6,8.5,3.7,0.1,9.7,1.6,8.7
BEd,Secondary Education,Teacher,1.7,5.2,4.1,7.0,7.5,3.4,0.5,1.4,5.1,6.0,5.6,3.9,6.3,7.2
BFA,Fine Arts,Gallery Curator,2.7,6.3,0.6,5.9,9.2,3.2,9.8,4.4,4.0,9.0,1.3,3.9,6.0,8.3
BSc,Mathematics,Research Scientist,5.8,7.6,8.7,8.9,9.6,2.6,4.3,8.5,3.7,8.7,1.7,8.7,0.7,3.3
BCom,Accounting,Tax Consultant,6.7,12.9,3.7,2.0,9.9,9.2,3.4,8.7,1.6,7.4,2.9,7.9,1.3,7.6
BA,English Literature,Content Writer,4.2,12.2,3.2,9.3,8.2,2.8,9.4,1.7,5.8,6.6,6.3,1.4,6.9,1.0
BSc,Physics,Data Analyst,7.3,13.7,9.3,9.9,6.6,9.8,2.9,2.8,7.9,5.7,7.9,0.2,4.8,7.1
BBA,Entrepreneurship,Sales Manager,7.5,9.1,4.6,7.6,9.1,7.2,5.3,5.3,4.6,3.3,6.9,5.6,7.8,8.4
BSA,Astronomy,Cosmic Philosopher,5.2,2.2,3.3,9.8,5.7,4.6,2.2,9.8,7.8,8.2,8.6,0.9,2.3,9.5
BA,History,Content Writer,10.0,12.6,7.8,4.3,5.8,8.3,7.1,5.3,4.3,5.1,2.5,0.2,8.4,5.3
BSA,Space Engineering,Space Musician,4.3,6.6,4.2,8.1,9.0,7.9,0.7,8.7,1.3,6.9,5.6,5.9,10.0,4.4
BCA,Computer Applications,Cybersecurity Analyst,3.6,6.3,5.2,9.7,0.1,1.5,8.2,0.7,3.6,8.0,1.6,4.7,9.8,7.4
BSA,Astrophysics,Astro-Ethnographer,7.8,9.1,1.6,8.0,6.5,1.0,4.8,9.9,1.0,0.7,7.9,3.8,4.0,7.3
BCA,Software Engineering,Network Administrator,9.9,14.5,7.7,5.3,5.8,5.5,0.8,7.2,5.0,7.5,7.6,4.0,2.3,1.5
BSA,Space Technology,Intergalactic Diplomat,9.8,6.3,6.1,6.6,1.6,7.0,0.4,5.8,2.7,4.3,7.4,8.6,4.7,3.4
BFA,Graphic Design,Interior Designer,4.1,8.1,5.2,5.6,0.3,0.4,9.8,5.1,5.3,3.8,7.3,8.5,3.5,3.9
BSc,Physics,Environmental Scientist,9.0,3.1,8.1,9.2,1.5,6.7,6.7,5.6,3.6,8.7,9.1,0.1,8.7,2.0
BBA,Business Administration,Marketing Manager,2.0,3.8,2.8,3.2,3.0,0.2,6.4,9.8,3.9,7.1,6.6,2.2,7.3,1.7
BCA,Web Development,Systems Analyst,2.7,12.5,8.8,6.1,6.1,9.3,1.8,4.9,1.5,3.2,2.9,5.5,8.4,7.9
BFA,Painting,Art Director,7.8,1.3,3.4,0.5,0.3,9.6,9.4,3.0,6.3,9.5,8.8,3.1,0.9,5.8
BBA,International Business,Operations Manager,4.9,2.9,9.9,1.9,2.5,0.6,10.0,1.1,4.4,3.0,4.2,9.4,6.0,3.0
BEd,Early Childhood Education,Curriculum Developer,2.2,4.6,0.7,0.0,8.4,4.1,2.6,2.6,9.7,3.7,8.0,3.8,7.4,2.3
BCom,Accounting,Auditor,4.6,8.8,7.8,1.5,0.1,6.2,5.8,9.4,3.5,8.5,0.4,7.6,3.2,5.5
BA,History,Copywriter,7.3,11.7,2.7,3.8,3.3,9.9,8.2,6.0,0.4,5.5,6.2,9.0,0.1,3.0
BBA,Business Administration,Human Resources Manager,3.0,0.6,0.7,3.9,5.2,9.4,7.7,3.7,9.2,8.4,0.9,3.5,5.8,3.2
BFA,Painting,Graphic Designer,3.2,2.1,4.8,5.2,8.0,8.0,2.6,8.3,0.3,2.2,2.0,0.1,6.6,2.9
BBA,Business Administration,Management Consultant,3.4,14.6,1.9,4.6,4.4,9.3,3.4,4.1,7.8,2.5,4.5,3.2,3.5,6.3
BSc,Mathematics,Quality Control Analyst,2.4,11.2,4.6,0.5,0.7,3.9,5.6,4.4,5.9,9.1,2.1,0.4,8.6,7.2
BArch,Urban Planning,Historic Preservationist,10.0,11.7,5.0,3.8,6.8,6.1,8.9,5.6,9.5,5.3,6.4,2.1,8.4,1.5
BEd,Secondary Education,School Librarian,7.2,11.2,0.0,9.6,4.0,1.4,7.4,8.8,5.5,8.2,8.1,8.2,2.2,5.2
BA,History,Human Resources Assistant,8.7,13.3,3.3,8.4,9.5,8.1,3.6,8.6,7.4,8.9,1.8,2.0,4.9,7.8
BA,History,Journalist,9.9,1.4,4.6,2.7,2.4,5.8,4.0,2.9,6.5,8.0,8.7,6.9,1.3,7.1
BCA,Web Development,Cybersecurity Analyst,4.7,12.1,9.6,6.9,2.4,7.0,0.6,7.5,6.1,4.0,2.2,1.3,2.6,8.5
BCA,Computer Applications,Web Developer,5.9,0.8,7.3,5.7,8.0,1.1,3.7,2.9,8.8,8.7,4.0,1.1,9.5,0.8
BBA,Business Administration,Marketing Manager,7.0,11.2,9.1,0.0,1.7,2.0,0.6,8.3,6.2,6.1,0.7,5.4,5.9,9.1
BBA,Entrepreneurship,Human Resources Manager,7.3,3.9,5.2,8.7,5.0,8.9,8.9,0.7,9.9,5.1,2.6,0.2,5.0,8.3
BFA,Fine Arts,Gallery Curator,9.6,1.5,6.0,0.2,2.5,7.5,8.1,8.2,3.8,5.5,7.4,6.4,9.4,5.5
BCom,Accounting,Business Consultant,6.7,13.3,8.5,9.8,1.4,5.0,9.1,1.6,8.1,4.0,2.1,4.8,4.3,6.2
BEd,Secondary Education,Special Education Teacher,1.6,14.5,1.7,3.3,3.5,3.4,4.1,4.5,1.6,9.9,4.3,7.6,6.0,9.9
BSA,Astrophysics,Galactic Historian,5.0,11.1,7.5,4.6,5.1,4.3,3.6,1.1,6.2,5.1,7.8,0.9,2.7,6.1
BCom,Finance,Business Consultant,7.0,6.8,1.7,7.6,0.0,6.3,8.2,7.2,0.6,4.1,8.7,7.1,3.0,6.7
BArch,Landscape Architecture,Construction Manager,5.4,3.2,7.6,6.1,8.3,1.9,0.2,8.4,9.3,3.0,0.8,1.8,7.9,7.9
BArch,Landscape Architecture,Building Inspector,1.8,7.6,0.7,5.0,4.3,9.4,7.5,0.9,6.0,5.6,5.0,5.8,4.6,0.9
BFA,Graphic Design,Illustrator,3.4,6.3,7.3,5.8,7.9,4.6,2.1,8.0,5.2,4.3,6.0,4.1,6.4,9.1
BEd,Special Education,Instructional Designer,8.1,0.3,5.3,0.3,6.9,6.9,3.6,3.4,5.5,8.6,6.8,6.6,2.2,9.3
BE or BTech,Mechanical Engineering,Biomedical Engineer,8.8,13.7,9.4,4.5,2.8,4.2,8.3,4.2,1.4,9.4,7.9,2.2,1.9,6.4
BSA,Space Engineering,Space Artist,4.3,12.2,4.5,1.3,4.8,4.3,1.8,5.7,8.8,9.3,5.6,7.2,6.8,1.2
BEd,Special Education,School Counselor,8.9,14.5,4.9,1.8,1.5,8.4,2.3,1.9,3.2,4.6,1.6,5.1,3.9,4.7
BCom,Finance,Investment Analyst,1.2,7.2,4.6,4.2,1.2,5.8,5.0,0.6,2.4,7.8,3.1,0.4,8.1,7.6
BCA,Web Development,Computer Programmer,1.4,9.0,0.6,7.2,9.8,6.8,5.7,7.7,0.3,0.8,7.6,2.9,3.8,8.2
BA,Psychology,Fundraiser,3.8,11.0,5.0,3.2,8.1,0.2,1.2,5.1,3.0,6.4,8.7,7.8,3.1,1.6
BSA,Astrophysics,Astrobiologist,8.6,1.2,9.1,7.8,0.1,9.2,2.0,7.9,6.0,5.8,7.0,3.9,7.6,7.8
BE or BTech,Civil Engineering,Mechanical Engineer,1.4,6.2,6.2,5.9,5.5,6.4,7.9,8.1,7.1,4.8,0.6,9.0,8.9,1.1
BArch,Urban Planning,Urban Planner,7.7,14.5,9.2,3.8,2.5,0.3,3.0,0.4,1.6,8.0,9.8,4.8,7.2,7.3
BArch,Landscape Architecture,Architect,8.5,1.8,3.4,5.1,1.2,7.0,4.1,6.2,7.5,0.4,9.3,2.0,5.6,9.0
BCA,Software Engineering,Game Developer,4.1,3.3,9.9,4.3,1.9,0.8,7.5,5.5,7.5,5.6,1.4,4.8,4.8,4.8
BSc,Physics,Quality Control Analyst,1.6,0.3,0.1,5.3,0.6,0.5,8.1,3.8,6.9,0.5,2.6,5.0,5.7,4.9
BFA,Sculpture,Photographer,3.7,7.1,6.3,2.3,1.9,7.0,2.2,3.4,9.0,4.9,9.8,2.8,1.5,5.0
BCA,Information Technology,Database Administrator,6.6,0.6,3.8,7.7,2.2,5.3,4.7,0.1,0.1,5.8,0.4,4.0,7.3,3.9
BFA,Sculpture,Illustrator,5.1,10.7,1.9,7.4,0.2,7.3,0.7,4.8,3.5,5.8,6.7,8.3,0.0,0.1
BArch,Architecture,Building Inspector,2.0,9.5,3.6,1.5,0.3,2.3,6.7,1.2,9.5,9.7,2.4,6.3,1.6,3.1
BSc,Chemistry,Research Scientist,8.3,5.4,8.5,5.3,1.2,1.4,6.1,4.1,3.3,2.6,7.7,7.9,7.0,9.5
BSc,Physics,Forensic Scientist,8.9,13.0,10.0,1.3,2.1,5.4,0.7,9.9,9.1,8.3,1.7,7.4,6.2,1.6
BA,History,Customer Service Representative,2.4,6.5,2.5,8.9,6.2,7.9,6.6,4.9,6.9,1.4,1.3,4.4,8.2,0.7
BBA,Entrepreneurship,Financial Analyst,7.6,0.2,1.8,6.7,3.9,2.8,8.4,7.5,7.8,6.7,0.7,2.8,4.0,9.2
BArch,Interior Design,Architect,6.6,4.5,9.3,2.4,2.1,0.3,0.4,0.0,3.1,5.4,9.1,1.1,0.1,7.5
BArch,Landscape Architecture,CAD Technician,9.7,2.3,3.7,0.1,3.5,1.6,4.5,8.3,6.8,8.6,6.3,1.1,2.6,0.8
BEd,Early Childhood Education,Instructional Designer,9.2,8.4,3.8,2.2,7.2,9.0,0.2,6.1,5.6,6.8,1.3,7.9,7.2,1.3
BSA,Astronomy,Astrobiologist,7.7,1.0,3.3,6.6,3.5,3.9,2.8,3.7,4.8,2.2,5.3,2.4,1.3,3.4
BA,Economics,Content Writer,9.8,9.6,4.9,2.3,0.2,7.6,9.7,9.7,3.3,1.4,0.0,9.6,2.8,9.3
BArch,Landscape Architecture,Historic Preservationist,8.2,12.7,7.1,1.4,6.8,7.1,3.2,8.1,1.6,1.4,0.3,6.8,4.3,7.8
BBA,Human Resource Management,Marketing Manager,2.8,12.8,5.9,0.4,3.1,8.1,4.5,7.0,3.8,4.1,7.8,5.2,1.9,6.1
BCom,Management,Investment Analyst,5.8,4.6,5.3,1.5,0.1,4.0,4.8,2.8,6.7,4.0,2.5,6.4,0.5,0.1
BSA,Space Engineering,Astrobiologist,8.6,13.2,5.8,0.3,2.7,4.7,7.7,5.5,2.9,9.1,3.1,5.5,8.2,6.4
BA,Economics,Content Writer,1.1,11.1,8.2,5.0,8.8,1.8,9.2,3.5,2.2,2.5,5.9,6.9,3.0,9.1
BE or BTech,Civil Engineering,Aerospace Engineer,2.2,12.5,9.5,4.3,9.2,3.0,9.2,6.4,6.5,8.4,6.1,1.4,6.3,5.1
BEd,Elementary Education,Instructional Designer,5.9,9.9,3.7,2.8,2.4,3.6,7.8,3.1,2.8,2.5,3.8,6.5,4.5,6.5
BE or BTech,Electrical Engineering,Chemical Engineer,1.5,14.4,8.5,5.2,6.3,8.2,2.1,6.0,8.7,9.1,4.4,1.2,9.8,2.9
BSc,Physics,Quality Control Analyst,9.9,14.7,5.9,1.2,1.1,2.9,6.5,3.3,6.0,1.2,6.4,3.1,6.1,3.6
BFA,Graphic Design,Animator,2.3,13.9,0.8,2.8,4.2,6.1,6.6,8.2,2.5,0.2,2.7,5.2,2.4,0.1
BSc,Physics,Research Scientist,3.2,13.8,9.2,7.8,6.3,7.1,1.4,4.7,7.4,8.0,2.7,9.2,2.6,5.6
BE or BTech,Computer Science,Civil Engineer,4.1,0.4,0.7,0.4,3.2,8.2,2.3,3.0,0.8,8.3,9.3,9.7,7.3,8.2
BFA,Graphic Design,Illustrator,3.9,3.3,8.6,8.9,3.1,4.3,1.8,2.4,8.9,1.1,8.3,4.5,3.2,5.8
BFA,Sculpture,Interior Designer,4.5,8.0,9.9,9.5,2.2,7.0,6.3,3.5,4.7,4.6,8.5,2.2,5.6,5.1
BA,Economics,Content Writer,2.6,1.0,0.9,8.2,1.3,2.0,9.4,2.1,3.5,6.3,1.0,5.3,9.0,2.1
BArch,Interior Design,Urban Planner,4.1,2.2,4.0,7.3,4.0,6.6,2.0,3.6,6.7,6.4,6.9,6.7,3.7,3.9
BCom,Management,Auditor,2.7,3.6,0.2,5.5,7.7,9.7,7.2,4.6,8.9,2.1,7.0,7.1,8.9,0.3
BCA,Web Development,Systems Analyst,6.6,14.4,6.0,5.8,1.0,5.4,1.7,7.3,7.2,3.8,2.9,9.7,3.3,8.2
BEd,Secondary Education,Special Education Teacher,1.6,13.0,4.1,6.2,2.7,3.9,5.5,3.5,5.2,8.6,6.8,3.2,5.7,4.6
BSA,Space Engineering,Cosmic Philosopher,8.6,9.0,5.4,6.7,2.5,7.9,5.1,0.0,9.2,8.2,4.0,5.4,1.3,4.1
BCom,Management,Auditor,4.5,7.2,1.4,3.5,4.5,9.3,9.8,0.4,9.1,5.2,4.3,9.6,8.9,1.2
BEd,Elementary Education,ESL Teacher,8.4,8.9,2.1,0.7,5.0,1.5,2.1,2.0,9.5,7.2,0.9,6.6,3.6,7.7
BCA,Web Development,Game Developer,3.8,1.5,8.1,5.7,7.3,1.6,4.5,7.0,0.3,9.5,6.4,0.3,6.4,2.5
BFA,Graphic Design,Art Director,9.9,3.1,4.2,2.5,1.6,1.7,9.7,2.6,3.8,2.0,7.3,4.9,3.9,4.6
BSc,Mathematics,Biomedical Engineer,1.4,11.3,9.1,2.1,5.9,2.1,0.8,1.2,6.0,9.5,7.1,3.9,9.2,0.2
BBA,Business Administration,Sales Manager,5.7,7.7,7.6,3.3,7.1,4.2,0.5,5.1,5.3,3.3,5.4,8.0,2.9,3.5
BCA,Software Engineering,Game Developer,2.8,11.3,3.3,6.9,0.7,3.5,3.2,7.4,9.8,2.0,3.9,0.3,4.3,8.3
BSc,Mathematics,Epidemiologist,8.4,12.2,9.0,0.9,9.7,2.2,3.0,1.2,4.0,6.7,9.8,6.5,7.2,1.3
BSc,Biology,Pharmaceutical Sales Representative,3.3,6.8,9.6,3.8,1.3,8.9,3.0,1.7,5.8,9.3,2.6,5.7,9.1,1.8
BEd,Special Education,School Librarian,4.6,7.7,9.8,2.0,7.1,5.5,0.7,6.6,6.0,9.9,0.5,3.2,8.3,5.0
BEd,Special Education,School Counselor,4.1,1.6,6.5,8.9,9.8,7.0,9.4,2.5,2.2,1.9,1.7,8.8,1.3,2.9
BE or BTech,Mechanical Engineering,Mechanical Engineer,5.4,8.8,3.8,2.6,7.5,5.4,8.8,7.7,0.6,6.4,5.4,4.5,2.8,8.3
BSc,Chemistry,Environmental Scientist,4.2,4.3,6.9,1.5,3.0,3.8,9.4,3.4,8.2,1.3,7.1,5.7,5.7,5.0
BCom,Finance,Tax Consultant,6.2,6.7,9.2,1.6,3.0,8.9,2.5,8.0,4.6,6.3,7.2,4.4,6.4,3.1
BFA,Painting,Art Director,3.3,3.4,4.5,7.7,7.7,3.0,2.8,9.5,7.0,7.5,4.6,3.9,4.3,9.8
BE or BTech,Computer Science,Automotive Engineer,5.9,10.9,5.9,1.1,2.6,9.9,1.4,2.7,1.8,7.3,6.1,6.5,6.3,5.7
BCom,Management,Accountant,1.3,1.1,3.8,2.4,6.8,7.2,1.0,8.0,2.2,8.2,8.5,7.3,6.1,2.1
BArch,Interior Design,Construction Manager,1.6,1.1,1.3,9.0,5.9,3.8,6.9,1.2,4.0,2.1,3.4,3.2,8.5,4.2
BSc,Mathematics,Data Analyst,8.2,0.7,8.4,4.7,7.9,2.3,8.4,6.7,3.3,9.2,4.3,8.9,9.4,7.2
BE or BTech,Electrical Engineering,Robotics Engineer,9.5,0.9,3.8,3.6,0.8,7.1,9.9,8.3,9.4,7.5,0.6,2.0,0.1,8.1
BFA,Sculpture,Interior Designer,7.7,11.5,2.3,4.4,9.3,2.3,8.6,1.2,3.0,8.5,2.4,2.5,4.4,5.3
BFA,Fine Arts,Interior Designer,9.8,7.5,8.3,1.0,9.1,0.7,8.1,5.5,6.6,4.1,9.7,2.6,6.5,6.2
BE or BTech,Civil Engineering,Network Engineer,6.5,9.8,7.4,3.1,8.8,2.4,5.7,9.8,1.3,2.5,2.3,2.5,5.2,7.9
BSc,Physics,Biomedical Engineer,1.6,3.5,0.8,4.4,8.4,4.6,1.6,4.7,5.6,5.6,6.0,4.3,5.9,3.7
BE or BTech,Civil Engineering,Mechanical Engineer,2.3,3.0,4.4,1.8,5.0,3.3,2.9,9.9,7.9,8.9,0.9,7.9,8.2,4.5
BA,Economics,Customer Service Representative,3.3,3.9,6.4,8.8,6.6,8.5,1.5,3.5,7.2,7.5,6.4,6.0,2.7,6.0
BE or BTech,Mechanical Engineering,Mechanical Engineer,8.5,5.6,4.8,2.6,1.1,4.0,9.2,6.3,9.4,8.1,6.3,1.0,8.8,8.1
